city,lat,lng,max temp,humidity,cloudiness,windspeed,country,date,name,max temp F
pevek,69.7008,170.3133,237.39,100.0,46.0,2.1,RU,1644356416,Pevek,-32.36799999999998
butembo,0.15,29.2833,291.89,55.0,95.0,1.25,CD,1644356417,Butembo,65.73200000000001
bathsheba,13.2167,-59.5167,299.49,65.0,75.0,7.2,BB,1644356417,Bathsheba,79.41200000000006
makakilo city,21.3469,-158.0858,299.42,57.0,20.0,5.14,US,1644356417,Makakilo City,79.28600000000007
am timan,11.0297,20.2827,296.64,15.0,4.0,3.1,TD,1644356418,Am Timan,74.28200000000001
mulege,26.8833,-111.9833,294.57,32.0,6.0,5.4,MX,1644356220,Mulegé,70.55600000000003
chara,56.9064,118.2631,250.06,97.0,100.0,0.15,RU,1644356418,Chara,-9.561999999999955
turukhansk,65.8167,87.9833,245.38,93.0,100.0,2.25,RU,1644356419,Turukhansk,-17.98599999999997
arlit,18.7369,7.3853,293.64,8.0,0.0,3.99,NE,1644356419,Arlit,68.88200000000002
brae,60.3964,-1.353,277.1,77.0,98.0,14.87,GB,1644356420,Brae,39.110000000000085
namatanai,-3.6667,152.4333,300.78,76.0,100.0,2.07,PG,1644356420,Namatanai,81.734
comodoro rivadavia,-45.8667,-67.5,294.07,19.0,0.0,7.2,AR,1644356420,Comodoro Rivadavia,69.65600000000003
katobu,-4.9408,122.5276,296.74,93.0,93.0,0.61,ID,1644356421,Katobu,74.46200000000006
port elizabeth,-33.918,25.5701,291.31,94.0,40.0,3.6,ZA,1644356421,Port Elizabeth,64.68800000000005
walvis bay,-22.9575,14.5053,294.87,83.0,44.0,1.54,NA,1644356421,Walvis Bay,71.09600000000005
narsaq,60.9167,-46.05,256.27,74.0,15.0,2.41,GL,1644356422,Narsaq,1.6160000000000068
sao jose da coroa grande,-8.8978,-35.1478,299.88,75.0,1.0,4.89,BR,1644356422,São José da Coroa Grande,80.11400000000003
kudahuvadhoo,2.6708,72.8944,301.32,64.0,100.0,5.41,MV,1644356422,Kudahuvadhoo,82.70600000000003
ankang,32.68,109.0172,274.09,77.0,93.0,0.5,CN,1644356423,Ankang,33.69199999999999
hrubieszow,50.805,23.8925,275.43,97.0,100.0,7.88,PL,1644356423,Hrubieszów,36.104000000000056
codrington,-38.2667,141.9667,292.82,72.0,99.0,3.03,AU,1644356423,Codrington,67.40600000000003
dzheyrakh,42.8228,44.6756,266.81,79.0,100.0,5.43,RU,1644356424,Dzheyrakh,20.588000000000044
namibe,-15.1961,12.1522,296.36,78.0,100.0,5.1,AO,1644356424,Mossamedes,73.77800000000006
vysokogornyy,50.1167,139.15,249.41,100.0,100.0,1.72,RU,1644356424,Vysokogornyy,-10.731999999999964
narkanda,31.2548,77.4613,270.77,80.0,100.0,1.76,IN,1644356425,Narkanda,27.716000000000008
maragogi,-9.0122,-35.2225,299.85,75.0,2.0,4.88,BR,1644356425,Maragogi,80.06000000000009
sistranda,63.7256,8.834,275.87,76.0,100.0,16.46,NO,1644356425,Sistranda,36.89600000000005
vaitape,-16.5167,-151.75,300.79,77.0,18.0,8.81,PF,1644356426,Vaitape,81.75200000000008
muli,2.9167,73.5667,301.34,71.0,100.0,5.27,MV,1644356426,Muli,82.74199999999999
bonavista,48.6499,-53.1147,272.1,80.0,100.0,8.03,CA,1644356426,Bonavista,30.11000000000008
payo,-3.7508,103.6372,295.21,98.0,99.0,0.7,ID,1644356427,Payo,71.708
boa vista,2.8197,-60.6733,308.14,34.0,40.0,5.14,BR,1644356415,Boa Vista,94.98200000000001
thurso,58.5927,-3.5259,278.12,88.0,91.0,11.89,GB,1644356427,Thurso,40.94600000000005
indian head,38.6001,-77.1622,284.24,23.0,0.0,4.63,US,1644356427,Indian Head,51.96200000000006
agua verde,22.9,-106.05,301.2,37.0,0.0,4.95,MX,1644356428,Agua Verde,82.49000000000002
constitucion,-35.3333,-72.4167,293.99,67.0,24.0,8.73,CL,1644356428,Constitución,69.51200000000006
cabedelo,-6.9811,-34.8339,301.52,74.0,1.0,6.19,BR,1644356428,Cabedelo,83.066
laguna,38.421,-121.4238,297.96,48.0,0.0,2.06,US,1644356429,Laguna,76.658
tortosa,40.8125,0.5216,284.76,89.0,2.0,1.14,ES,1644356429,Tortosa,52.898000000000025
